,expected,output,output disposal,probability,url,img_name
Business Forms,Recycling,Business Forms,Recycling,0.794409453868866,https://p1.pxfuel.com/preview/811/15/667/financial-control-work-official-form-business.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/business-forms.jpg
Business Forms,Recycling,Business Forms,Recycling,0.9524957537651062,https://live.staticflickr.com/65535/50578719863_2c765b5c5e_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/business-forms_1.jpg
Butcher Paper,Regular Trash,Butcher Paper,Regular Trash,0.8902259469032288,https://upload.wikimedia.org/wikipedia/commons/d/d9/Papelparamolde.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/butcher-paper.jpg
Cardboard,Recycling,Corrugated Cardboard,Recycling,0.5626389384269714,https://upload.wikimedia.org/wikipedia/commons/b/b6/Corrugated_Cardboard.JPG,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard.jpg
Cardboard,Recycling,Cardboard,Recycling,0.3274993598461151,https://live.staticflickr.com/3591/3630632170_d861fe80fe_c.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard_1.jpg
Cardboard Box,Recycling,Cardboard Box,Recycling,0.8566291928291321,https://upload.wikimedia.org/wikipedia/commons/9/9d/Cardboard_Boxes_and_their_History.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard-box.jpg
Cardboard Box,Recycling,Cardboard Moving Boxes (clean),Recycling,0.5237839818000793,https://images.pexels.com/photos/4498122/pexels-photo-4498122.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard-box_1.jpg
Cardboard Box,Recycling,Cardboard Box,Recycling,0.6583714485168457,https://c0.wallpaperflare.com/preview/633/513/219/shipping-box.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard-box_2.jpg
Cardboard Cans,Regular Trash,Rubber Corks,Regular Trash,0.33617162704467773,https://c0.wallpaperflare.com/preview/44/632/920/cardboard-tubes-bundled-cardboard.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard-cans.jpg
Cardboard Mailing Boxes,Recycling,Cardboard Mailing Boxes,Recycling,0.33296361565589905,https://c.pxhere.com/images/41/64/efcc9cf51b19ae368580c0311336-1647023.jpg!d,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard-mailing-boxes.jpg
Cardboard Moving Boxes (clean),Recycling,Cardboard Moving Boxes (clean),Recycling,0.8144552707672119,https://upload.wikimedia.org/wikipedia/commons/6/60/Moving-boxes.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard-moving-boxes- clean .jpg
Cardboard Moving Boxes (clean),Recycling,Cardboard Moving Boxes (clean),Recycling,0.8041102290153503,https://live.staticflickr.com/1258/851672959_7773420706_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cardboard-moving-boxes- clean _1.jpg
Carton,Regular Trash,Juice Cartons,Regular Trash,0.3963524103164673,https://upload.wikimedia.org/wikipedia/commons/3/37/-2022-02-09_A_2_Litre_carton_of_skimmed_milk%2C_Trimingham%2C_Norfolk_%283%29.JPG,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/carton.jpg
Carton,Regular Trash,Milk Cartons,Regular Trash,0.77486652135849,https://live.staticflickr.com/3288/2908570562_457012e9da_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/carton_1.jpg
Catalogues,Recycling,Catalogues,Recycling,0.9944684505462646,https://miro.medium.com/v2/resize:fit:1024/0*TLpmRTae5D3jHwMD.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/catalogues.jpg
Cereal Boxes,Recycling,Cereal Boxes,Recycling,0.8201152682304382,https://c.pxhere.com/photos/71/d9/new_corn_cereal_supermarket_packaged_glutenfree_packagedfood-396314.jpg!d,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cereal-boxes.jpg
Cereal Boxes,Recycling,Cereals,Curbside Food Waste Collection,0.6211549639701843,https://live.staticflickr.com/5592/15057945828_6abc5b791e_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cereal-boxes_1.jpg
