,expected,output,output disposal,probability,url
Business Forms,Recycling,Business Forms,Recycling,0.7956688404083252,https://p1.pxfuel.com/preview/811/15/667/financial-control-work-official-form-business.jpg
Business Forms,Recycling,Business Forms,Recycling,0.9519202709197998,https://live.staticflickr.com/65535/50578719863_2c765b5c5e_b.jpg
Butcher Paper,Regular Trash,Butcher Paper,Regular Trash,0.8901207447052002,https://upload.wikimedia.org/wikipedia/commons/d/d9/Papelparamolde.jpg
Cardboard,Recycling,Corrugated Cardboard,Recycling,0.5590081214904785,https://upload.wikimedia.org/wikipedia/commons/b/b6/Corrugated_Cardboard.JPG
Cardboard,Recycling,Cardboard,Recycling,0.3293040692806244,https://live.staticflickr.com/3591/3630632170_d861fe80fe_c.jpg
Cardboard Box,Recycling,Cardboard Box,Recycling,0.8546558618545532,https://upload.wikimedia.org/wikipedia/commons/9/9d/Cardboard_Boxes_and_their_History.jpg
Cardboard Box,Recycling,Cardboard Moving Boxes (clean),Recycling,0.5227609276771545,https://images.pexels.com/photos/4498122/pexels-photo-4498122.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
Cardboard Box,Recycling,Cardboard Box,Recycling,0.6584758162498474,https://c0.wallpaperflare.com/preview/633/513/219/shipping-box.jpg
Cardboard Cans,Regular Trash,Rubber Corks,Regular Trash,0.338091641664505,https://c0.wallpaperflare.com/preview/44/632/920/cardboard-tubes-bundled-cardboard.jpg
Cardboard Mailing Boxes,Recycling,Cardboard Mailing Boxes,Recycling,0.3265780508518219,https://c.pxhere.com/images/41/64/efcc9cf51b19ae368580c0311336-1647023.jpg!d
Cardboard Moving Boxes (clean),Recycling,Cardboard Moving Boxes (clean),Recycling,0.8131285905838013,https://upload.wikimedia.org/wikipedia/commons/6/60/Moving-boxes.jpg
Cardboard Moving Boxes (clean),Recycling,Cardboard Moving Boxes (clean),Recycling,0.8035563826560974,https://live.staticflickr.com/1258/851672959_7773420706_b.jpg
Carton,Regular Trash,Juice Cartons,Regular Trash,0.3940020501613617,https://upload.wikimedia.org/wikipedia/commons/3/37/-2022-02-09_A_2_Litre_carton_of_skimmed_milk%2C_Trimingham%2C_Norfolk_%283%29.JPG
Carton,Regular Trash,Milk Cartons,Regular Trash,0.7759186625480652,https://live.staticflickr.com/3288/2908570562_457012e9da_b.jpg
Catalogues,Recycling,Catalogues,Recycling,0.9944453835487366,https://miro.medium.com/v2/resize:fit:1024/0*TLpmRTae5D3jHwMD.jpg
Cereal Boxes,Recycling,Cereal Boxes,Recycling,0.8206883668899536,https://c.pxhere.com/photos/71/d9/new_corn_cereal_supermarket_packaged_glutenfree_packagedfood-396314.jpg!d
Cereal Boxes,Recycling,Cereals,Curbside Food Waste Collection,0.6219854950904846,https://live.staticflickr.com/5592/15057945828_6abc5b791e_b.jpg
Cereal Boxes,Recycling,Cereal Boxes,Recycling,0.7073671221733093,https://live.staticflickr.com/3859/15057852580_2ab5fae9a7_b.jpg
Cold Drink Cups (paper),Recycling,Hot Drink Cups (paper),Regular Trash,0.36896589398384094,https://c.pxhere.com/photos/c0/62/paper_cup_cup_paper_disposable_cups_1_hoeyongpum-670188.jpg!d
Computer Paper,Recycling,Styrofoam Sheets,Regular Trash,0.25242364406585693,https://c1.peakpx.com/wallpaper/547/163/756/computer-paper-mill-book-paper-wallpaper-preview.jpg
Computer Paper,Recycling,Computer Paper,Recycling,0.8480380773544312,https://upload.wikimedia.org/wikipedia/commons/e/e8/Bound_computer_printout.agr.jpg
Copy Paper,Recycling,Paper,Recycling,0.4324914813041687,https://upload.wikimedia.org/wikipedia/commons/e/e5/Stack_of_Copy_Paper.jpg
Copy Paper,Recycling,Parchment Paper,Curbside Food Waste Collection,0.2613792419433594,https://c1.wallpaperflare.com/preview/857/152/922/paper-card-business-card-blank.jpg
Corrugated Cardboard,Recycling,Corrugated Cardboard,Recycling,0.9863401651382446,https://cdn.pixabay.com/photo/2017/04/12/17/35/corrugated-2225141_1280.jpg
Dunkin Donuts Cups (paper),Regular Trash,Dunkin Donuts Cups (paper),Regular Trash,0.9331348538398743,https://live.staticflickr.com/1357/545305693_c210f7c1a8_z.jpg
Dunkin Donuts Cups (paper),Regular Trash,Dunkin Donuts Cups (paper),Regular Trash,0.7948980331420898,https://live.staticflickr.com/1098/545308319_082ff67a32_z.jpg
Dunkin Donuts Cups (paper),Regular Trash,Dunkin Donuts Cups (paper),Regular Trash,0.16434268653392792,https://c0.wallpaperflare.com/preview/734/709/271/dunkin-donuts-plastic-cup.jpg
Egg Cartons (cardboard),Curbside Food Waste Collection,Eggs,Curbside Food Waste Collection,0.674052894115448,https://i1.pickpik.com/photos/129/561/204/eggs-carton-food-healthy-preview.jpg
Egg Cartons (cardboard),Curbside Food Waste Collection,Egg Cartons (styrofoam),Regular Trash,0.6895968317985535,https://pixnio.com/free-images/2020/05/05/2020-05-05-11-31-15.jpg
Egg Cartons (cardboard),Curbside Food Waste Collection,Egg Cartons (styrofoam),Regular Trash,0.8533599972724915,https://p1.pxfuel.com/preview/163/555/747/paper-egg-tray-panel-paper-egg-egg-crate-paper-egg-carton-paper.jpg
Envelopes,Recycling,Envelopes,Recycling,0.690066933631897,https://p1.pxfuel.com/preview/653/182/403/mail-envelope-letter-message.jpg
Fax Paper,Recycling,Fax Paper,Recycling,0.7684005498886108,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frterpvesalainen00025-image-kwvwx42a.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=5b08e5137a9bc40d28fce3f81f2ed638
File Folder,Recycling,File Folder,Recycling,0.8494266271591187,https://images.pexels.com/photos/4792285/pexels-photo-4792285.jpeg
File Folder,Recycling,File Folder,Recycling,0.666496217250824,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/px1333351-image-kwvw2zlg.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=60e8eda2f7818bf02b353c48d8abeb24
Flour Bags (paper),Curbside Food Waste Collection,Flour Bags (paper),Curbside Food Waste Collection,0.9932670593261719,https://upload.wikimedia.org/wikipedia/commons/9/90/Sack_of_King_Arthur_all_purpose_flour.jpg
Frozen Juice Cans,Regular Trash,Frozen Juice Cans,Regular Trash,0.9819923639297485,https://p1.pxfuel.com/preview/825/395/758/beverage-cans-asia-commercial-packaging-drinks-drinking-sparkling-soft-drinks.jpg
Junk Mail,Recycling,Junk Mail,Recycling,0.973334550857544,https://upload.wikimedia.org/wikipedia/commons/e/e5/Pile_of_junk_mail.jpg
Junk Mail,Recycling,Junk Mail,Recycling,0.4835737943649292,https://upload.wikimedia.org/wikipedia/commons/d/d2/Junk_mail_collection.jpg
Laminated Wood,Private Disposal,Laminated Wood,Private Disposal,0.8958488702774048,https://upload.wikimedia.org/wikipedia/commons/4/47/Laminated_Veneer_Lumber.png
Milk Boxes,Regular Trash,Milk Cartons,Regular Trash,0.6957272291183472,https://pixnio.com/free-images/food-and-drink/cartons-of-soy-milk.jpg
Milk Cartons,Regular Trash,Juice Cartons,Regular Trash,0.3940020501613617,https://upload.wikimedia.org/wikipedia/commons/3/37/-2022-02-09_A_2_Litre_carton_of_skimmed_milk%2C_Trimingham%2C_Norfolk_%283%29.JPG
Office Paper,Recycling,Business Forms,Recycling,0.2293217033147812,https://c0.wallpaperflare.com/preview/642/198/533/papers-projects-documents-documentation.jpg
Paperback Books,Recycling,Paperback Books,Recycling,0.4488163888454437,https://live.staticflickr.com/5504/12221425763_33448dd9c4_b.jpg
Paperback Books,Recycling,Paperback Books,Recycling,0.3550426959991455,https://p1.pxfuel.com/preview/1023/36/45/antiques-vintage-books-old.jpg
Paperback Books,Recycling,Hardcover Books,Reuse,0.4443710744380951,https://images.pexels.com/photos/3847646/pexels-photo-3847646.jpeg
Paper Bags,Recycling,Paper Bags,Recycling,0.8403235673904419,https://p1.pxfuel.com/preview/60/204/32/bag-paper-bag-brown-paper-bag-paper.jpg
Paper Bags,Recycling,Paper Bags,Recycling,0.9897588491439819,https://images.pexels.com/photos/1666067/pexels-photo-1666067.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
Paperboard,Recycling,Corrugated Cardboard,Recycling,0.5444878339767456,https://upload.wikimedia.org/wikipedia/commons/f/fb/Cardboard_All_Flutes.jpg
Pizza Box,Recycling,Pizza Box,Recycling,0.8375426530838013,https://www.pmq.com/wp-content/uploads/2019/04/pizzabox2new.jpg
Pizza Box,Recycling,Pizza Box,Recycling,0.999664306640625,https://live.staticflickr.com/1939/44720432145_b68f113780_b.jpg
Soiled Cardboard,Curbside Food Waste Collection,Milk Boxes,Regular Trash,0.3593606650829315,https://cdn.pixabay.com/photo/2021/07/12/10/32/package-6405973_1280.png
Soiled Paper,Curbside Food Waste Collection,Parchment Paper,Curbside Food Waste Collection,0.39297059178352356,https://p0.pxfuel.com/preview/675/937/131/old-paper-parchment-swirl.jpg
Shoe Box (cardboard),Recycling,Shoe Box (cardboard),Recycling,0.8887472748756409,https://live.staticflickr.com/5279/5853200042_3272dfdc35_b.jpg
Shoe Box (cardboard),Recycling,Metal,Private Disposal,0.08977549523115158,https://upload.wikimedia.org/wikipedia/commons/d/d8/Shoe_box_%282%29.jpg
Shoe Box (cardboard),Recycling,Shoe Box (cardboard),Recycling,0.6156948804855347,https://live.staticflickr.com/5316/5853212008_e463b5da3b_b.jpg
Soup Boxes,Regular Trash,Soup Boxes,Regular Trash,0.6604273915290833,https://upload.wikimedia.org/wikipedia/commons/6/66/2020-06-22_00_01_18_Cup_Noodles_with_Shrimp_packaging_in_the_Franklin_Farm_section_of_Oak_Hill%2C_Fairfax_County%2C_Virginia.jpg
Starbucks Cup (paper),Regular Trash,Starbucks Cup (paper),Regular Trash,0.6373524069786072,https://images.pexels.com/photos/7133625/pexels-photo-7133625.jpeg
Starbucks Cup (paper),Regular Trash,Starbucks Cup (paper),Regular Trash,0.7931032776832581,https://live.staticflickr.com/1431/719413255_d30a154933_z.jpg
Tissue Box,Recycling,Tissue Box,Recycling,0.9771892428398132,https://upload.wikimedia.org/wikipedia/commons/7/79/A_tissue_box.jpg
Tissue Box,Recycling,Tissue Box,Recycling,0.943599283695221,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frhandkerchiefs_box_bless_you-image-kybdjvuw.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=5ea7c2b77a8984d8c6337594b574b1a1
Vacuum Bag Contents,Regular Trash,Dryer Lint,Regular Trash,0.6337617039680481,https://upload.wikimedia.org/wikipedia/commons/8/87/Vacuum_cleaner_bag_in_vacuum_cleaner.jpg
