,expected,output,output disposal,probability,url
Air Purifier,Regular Trash,Air Purifier,Regular Trash,0.7971315383911133,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/11/Beko-Air-Purifier-with-HEPA-Filter-and-HygieneShield-ATP6100I-1.jpg
Answering Machines,Electronics Recycling,Telephone Equipment,Electronics Recycling,0.6409817934036255,https://c.pxhere.com/photos/3f/f2/telephone_technical_support_cisco_support_technical_communication_customer_call-648632.jpg!d
Cables,Electronics Recycling,Cables,Electronics Recycling,0.932999312877655,https://c.pxhere.com/photos/31/04/cables_wires_the_combination_of_connect_communication_the_flow_of_the_tip_of_the_colorful-1294681.jpg!d
Cable Box,Electronics Recycling,Modem,Electronics Recycling,0.27895471453666687,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/12/Mi-Box-S-main.jpg
Calculators,Electronics Recycling,Calculators,Electronics Recycling,0.9986806511878967,https://upload.wikimedia.org/wikipedia/commons/c/cf/Casio_calculator_JS-20WK_in_201901_002.jpg
Camcorders,Electronics Recycling,Camcorders,Electronics Recycling,0.9599381685256958,https://upload.wikimedia.org/wikipedia/commons/2/2e/Sony_Handycam_DCR-VX700E_MiniDV_camcorder.jpg
Camera Lenses,Regular Trash,Camera Lenses,Regular Trash,0.9934079647064209,https://images.pexels.com/photos/3679525/pexels-photo-3679525.jpeg
Cameras,Electronics Recycling,Digital Cameras,Regular Trash,0.5349675416946411,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/03/Nikon-Z9-main-scaled.jpg
CD Player,Electronics Recycling,CD Player,Electronics Recycling,0.9424338936805725,https://upload.wikimedia.org/wikipedia/commons/9/9a/Panasonic_SL-S250C_with_Philips_LC0305_20110106.jpg
Cell Phones,Electronics Recycling,Tempered Glass,Regular Trash,0.5964099764823914,https://c.pxhere.com/photos/05/d5/mobile_phone_cell_cell_phone_communication_technology_telephone_contact-438316.jpg!d
Chargers,Electronics Recycling,Charging Cords,Electronics Recycling,0.9506428241729736,https://img.mensxp.com/media/content/2020/Feb/How-Fast-Chargers-Work-on-Smartphones-Laptops-and-Accessories--740x500-1_5e56560ae5cbe.jpeg
Charging Cords,Electronics Recycling,Charging Cords,Electronics Recycling,0.6470516920089722,https://upload.wikimedia.org/wikipedia/commons/c/c3/USB-C_cable_2017_A.jpg
Clocks,Regular Trash,Clocks,Regular Trash,0.9983044862747192,https://upload.wikimedia.org/wikipedia/commons/4/46/Wall_clock_in_morning_time.jpg
Coffee Machine,Electronics Recycling,Coffee Machine,Electronics Recycling,0.9989815354347229,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/03/Breville-Barista-Max-1.jpg
Computer Monitors,Appointment Collection Item,Screens,Regular Trash,0.4618396461009979,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/07/Samsung-Neo-G9-01.jpg
Computer Parts,Regular Trash,Computer Parts,Regular Trash,0.8108726143836975,https://p1.pxfuel.com/preview/299/871/687/motherboard-circuits-computer-parts-technology-circuit.jpg
Computer Tower,Regular Trash,Computer Tower,Regular Trash,0.9557501077651978,https://upload.wikimedia.org/wikipedia/commons/a/a4/Falcon_Northwest_Talon.png
Copiers,Electronics Recycling,Photocopiers,Electronics Recycling,0.5249500870704651,https://p1.pxfuel.com/preview/460/378/395/office-equipment-supplies-paper-copier-person.jpg
Cords,Electronics Recycling,Charging Cords,Electronics Recycling,0.44036611914634705,https://upload.wikimedia.org/wikipedia/commons/a/ae/NEMA-1_extension_cord.jpg
Curling Iron,Electronics Recycling,Curling Iron,Electronics Recycling,0.9672060608863831,https://upload.wikimedia.org/wikipedia/commons/a/ab/Curling_iron_CISC-W2W32_by_Create_Co.%2C_Ltd._%282015-09-20%29.JPG
Dehumidifier,Appointment Collection Item,Dehumidifier,Appointment Collection Item,0.6374912261962891,https://upload.wikimedia.org/wikipedia/commons/a/af/Orion_-_Humidificateur_d%27air_par_%C3%A9vaporation.jpg
Digital Cameras,Regular Trash,Camera Lenses,Regular Trash,0.5241190195083618,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/02/panasonic-s5II-hanging-scaled.jpg
Dishwasher,Regular Trash - Bulky Items,Dishwasher,Regular Trash - Bulky Items,0.9962543249130249,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/24-inch_Built-In_Dishwasher_%28F89088VI-M-1%29.jpg/808px-24-inch_Built-In_Dishwasher_%28F89088VI-M-1%29.jpg?20210524063247
DVD Player,Electronics Recycling,DVD Player,Electronics Recycling,0.5355583429336548,https://upload.wikimedia.org/wikipedia/commons/6/6e/DVD_Player_Yamaha_S540.JPG
Electric Fan,Electronics Recycling,Electric Fan,Electronics Recycling,0.5221483707427979,https://upload.wikimedia.org/wikipedia/commons/7/7b/Small_electric_fan_in_a_square-shaped_encasing_%282017%29.jpg
Electric Hospital Beds,Reuse,Electric Hospital Beds,Reuse,0.9906126260757446,https://c1.wallpaperflare.com/preview/727/227/734/hospital-bedside-beds-ceiling.jpg
Electric Lift Systems for the Disabled,Private Disposal,Electric Lift Systems for the Disabled,Private Disposal,0.889946460723877,https://i0.hippopx.com/photos/459/721/193/stair-lift-elevator-trap-adjustment-preview.jpg
Electric Motors,Private Disposal,Electric Motors,Private Disposal,0.9998237490653992,https://upload.wikimedia.org/wikipedia/commons/3/37/Cut-away_version_of_an_electric_motor_%281%29.JPG
