,expected,output,output disposal,probability,url
Baby Bottles (glass),Recycling,Baby Bottles (glass),Recycling,0.4500441253185272,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Baby_Bottles_%2850841205848%29.jpg/1597px-Baby_Bottles_%2850841205848%29.jpg?20210116181106
Beer Bottles,Recycling,Beer Bottles,Recycling,0.9788114428520203,https://p1.pxfuel.com/preview/468/205/273/beers-bucket-cold.jpg
Beer Bottles,Recycling,Sauces,Curbside Food Waste Collection,0.490984171628952,https://images.pexels.com/photos/4620723/pexels-photo-4620723.jpeg
Beer Bottles,Recycling,Beer Bottles,Recycling,0.6365002393722534,https://p0.pxfuel.com/preview/444/699/810/beer-bottle-alcohol-green.jpg
Broken Glass,Regular Trash,Broken Glass,Regular Trash,0.9999419450759888,https://c0.wallpaperflare.com/preview/301/259/699/dark-black-background-glass.jpg
Broken Glass,Regular Trash,Broken Glass,Regular Trash,0.9948411583900452,https://img.rawpixel.com/private/static/images/website/2022-05/px1180462-image-kwvy2bvl.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=c1c973232d611ad14f437cc75cbe0cce
Broken Glass,Regular Trash,Broken Glass,Regular Trash,0.7068479657173157,https://c1.peakpx.com/wallpaper/895/324/839/glass-broken-pointed-sharp-cut-wallpaper.jpg
Eyeglasses,Regular Trash,Eyeglasses,Regular Trash,0.9992927312850952,https://p1.pxfuel.com/preview/416/108/837/glasses-see-overview-sharpness.jpg
Eyeglasses,Regular Trash,Eyeglasses,Regular Trash,0.9984252452850342,https://cdn.stocksnap.io/img-thumbs/960w/eyeglasses-eyewear_7UVD3CBC4W.jpg
Flat Screen Monitors,Appointment Collection Item,Flat Screen Monitors,Appointment Collection Item,0.46044737100601196,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/01/LG-UltraGear-38GN950-02.jpg
Flat Screen Monitors,Appointment Collection Item,Flat Screen Monitors,Appointment Collection Item,0.5593065023422241,https://live.staticflickr.com/153/436359444_9081af20e4_b.jpg
Flat Screen Televisions,Appointment Collection Item,Flat Screen Televisions,Appointment Collection Item,0.6091428399085999,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/07/How-to-connect-laptop-to-TV-3-scaled.jpg
