,expected,output,output disposal,probability,url
Aerosol Air Freshener (empty),Regular Trash,Humidifier,Regular Trash,0.5408766269683838,https://cdn.pixabay.com/photo/2020/01/19/11/29/perfume-4777464_1280.jpg
Aerosol Cans (empty),Regular Trash,Aerosol Cans (not empty),Hazardous Waste,0.5162951946258545,https://p0.pxfuel.com/preview/127/923/710/abstract-aerosol-can-art-art-and-craft-equipment.jpg
Aerosol Cans (not empty),Hazardous Waste,Aerosol Cans (not empty),Hazardous Waste,0.589863657951355,https://p1.pxfuel.com/preview/802/283/699/painting-can-graffiti-design-old-container.jpg
Air Conditioners,Appointment Collection Item,Air Conditioners,Appointment Collection Item,0.9922673106193542,https://upload.wikimedia.org/wikipedia/commons/9/93/Outside_air_conditioner.jpg
Aluminum Containers,Recycling,Aluminum Containers,Recycling,0.778059184551239,https://upload.wikimedia.org/wikipedia/commons/c/c4/Aluminium_take-out_food_tray_with_cover.jpg
Aluminum Foil,Recycling,Aluminum Foil,Recycling,0.9611361622810364,https://upload.wikimedia.org/wikipedia/commons/c/cc/Aluminium_cooking_foil.jpg
Ammunition,Private Disposal,Ammunition,Private Disposal,0.548409640789032,https://upload.wikimedia.org/wikipedia/commons/f/ff/Comparison_of_cold_war_ammunition.jpg
Automobiles,Private Disposal,Automobiles,Private Disposal,0.6963945031166077,https://c.pxhere.com/images/8d/07/0eab6c183aa83d1060cef0dec835-1572325.jpg!d
Barbeques,Regular Trash - Bulky Items,Grill,Regular Trash,0.5287845730781555,https://p1.pxfuel.com/preview/818/285/81/bbq-barbeque-summer-gas.jpg
Basketball Hoop,Private Disposal,Basketball Hoop,Private Disposal,0.9784787893295288,https://upload.wikimedia.org/wikipedia/commons/7/76/Basketball_net.jpg
Bathroom Aids for the Disabled,Regular Trash,Bathroom Aids for the Disabled,Regular Trash,0.9983508586883545,https://upload.wikimedia.org/wikipedia/commons/6/6c/Handicap_toilet_2.jpg
"Batteries (alkaline, carbon zinc)",Regular Trash,"Batteries (alkaline, carbon zinc)",Regular Trash,0.388959139585495,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/01/GP-Ultra-AA-2.jpg
Batteries (lead acid),Hazardous Waste,Batteries (lead acid),Hazardous Waste,0.6416956186294556,https://upload.wikimedia.org/wikipedia/commons/b/b7/VRLA_Valve-Regulated-Lead-Acid-Batteries_82645.jpg
Batteries (lithium),Hazardous Waste,Batteries (lithium),Hazardous Waste,0.9599444270133972,https://upload.wikimedia.org/wikipedia/commons/6/6f/Lithium_iron_phosphate_battery%2C_12_V%2C_48_Wh%2C_240_A.jpg
Batteries (rechargeable),Hazardous Waste,Batteries (rechargeable),Hazardous Waste,0.8151403665542603,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/03/GP-Recyko-Charge-10-AA-2.jpg
BBQ,Curbside Food Waste Collection,Pork Ribs,Curbside Food Waste Collection,0.5790556073188782,https://media.timeout.com/images/105784952/750/422/image.jpg
Bed Frames (metal),Regular Trash - Bulky Items,Electric Hospital Beds,Reuse,0.724341630935669,https://upload.wikimedia.org/wikipedia/commons/8/81/2_Linak_hospital_bed_frames.JPG
Beer Bottle Caps (metal),Recycling,Metal Bottle Caps,Recycling,0.7110258936882019,https://c1.peakpx.com/wallpaper/203/951/687/texture-metal-bottle-cap-seal-wallpaper-preview.jpg
Beer Cans,Recycling,Beer Cans,Recycling,0.8646325469017029,https://upload.wikimedia.org/wikipedia/commons/4/4f/Dutch_beer_cans_Amstel_Grolsch_Heineken.jpg
Beer Kegs,Recycling,Beer Kegs,Recycling,0.9975256323814392,https://www.publicdomainpictures.net/pictures/190000/nahled/beer-barrel-kegs.jpg
Bicycle,Private Disposal,Bicycle,Private Disposal,0.9939528107643127,https://upload.wikimedia.org/wikipedia/commons/4/41/Left_side_of_Flying_Pigeon.jpg
Bicycle Parts,Regular Trash,Bicycle Parts,Regular Trash,0.996402382850647,https://img.freepik.com/free-vector/bicycle-spare-parts-isometric-illsutration_1284-56470.jpg?w=2000
Boat Outboard Motor,Private Disposal,Boat Outboard Motor,Private Disposal,0.9999617338180542,https://cdn.pixabay.com/photo/2016/06/04/03/19/outboard-1434925_1280.jpg
Breakers,Regular Trash,Switches,Regular Trash,0.7479254603385925,https://upload.wikimedia.org/wikipedia/commons/c/c9/MCB_Circuit_breakers_for_DIN_rail.jpg
Bullets,Private Disposal,Bullets,Private Disposal,0.823731541633606,https://cdn.pixabay.com/photo/2016/08/23/00/16/bullets-1613241_1280.jpg
Can Opener,Regular Trash,Can Opener,Regular Trash,0.9927797913551331,https://p1.pxfuel.com/preview/423/94/368/kitchen-modern-can-opener.jpg
Car Batteries,Hazardous Waste,Car Batteries,Hazardous Waste,0.9312735795974731,https://upload.wikimedia.org/wikipedia/commons/4/49/Diamond_Energie_car_battery.jpg
Car Parts,Private Disposal,Scrap Metal,Private Disposal,0.4437488913536072,https://www.publicdomainpictures.net/pictures/110000/nahled/car-parts-junk-yard.jpg
Carburetor Cleaner,Hazardous Waste,Engine Solvents,Hazardous Waste,0.7319953441619873,https://upload.wikimedia.org/wikipedia/commons/8/8c/%D7%A9%D7%9E%D7%A0%D7%99%D7%9D_%D7%96%D7%95%D7%A7%D7%95_%D7%A9%D7%99%D7%9C%D7%95%D7%91%D7%99%D7%9D.jpg
Cast Iron Bathtubs,Private Disposal,Cast Iron Bathtubs,Private Disposal,0.6929832696914673,https://p1.pxfuel.com/preview/305/268/868/various-bath-bathroom-cleaning.jpg
Computer Parts,Regular Trash,Computer Parts,Regular Trash,0.37474948167800903,https://c1.wallpaperflare.com/preview/26/201/135/workshop-craft-hardware-computer.jpg
Computer Tower,Regular Trash,Computer Tower,Regular Trash,0.9963151812553406,https://upload.wikimedia.org/wikipedia/commons/3/3e/Computer_case_-_Full_Tower.jpg
Copiers,Electronics Recycling,Photocopiers,Electronics Recycling,0.5249500870704651,https://p1.pxfuel.com/preview/460/378/395/office-equipment-supplies-paper-copier-person.jpg
Curling Iron,Electronics Recycling,Curling Iron,Electronics Recycling,0.9672054648399353,https://upload.wikimedia.org/wikipedia/commons/a/ab/Curling_iron_CISC-W2W32_by_Create_Co.%2C_Ltd._%282015-09-20%29.JPG
Cutlery,Regular Trash,Cutlery,Regular Trash,0.7501904368400574,https://c0.wallpaperflare.com/preview/405/236/915/cutlers-cutlery-forks-kitchen.jpg
Dehumidifier,Appointment Collection Item,Humidifier,Regular Trash,0.678520679473877,https://upload.wikimedia.org/wikipedia/commons/3/32/Humidificateur_par_%C3%A9vaporation.jpg
Deoderant Roll-on,Regular Trash,Deoderant Roll-on,Regular Trash,0.9978995323181152,https://static.openbeautyfacts.org/images/products/433/718/521/4912/front_de.7.full.jpg
Dishwasher,Regular Trash - Bulky Items,Dishwasher,Regular Trash - Bulky Items,0.997765302658081,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7Mi8aQagz7aEy9e02uWAa2ah35vz5kHLxH6eRtk10cwOoxREGi3QSf-riaDgP7Ev7ppM&usqp=CAU
Dryer,Regular Trash - Bulky Items,Washing Machine,Regular Trash - Bulky Items,0.5306840538978577,https://c.pxhere.com/photos/6d/80/photo-1613087.jpg!d
Electric Fan,Electronics Recycling,Electric Fan,Electronics Recycling,0.9960665106773376,https://www.publicdomainpictures.net/pictures/10000/nahled/1-1246715149izP3.jpg
Electric Hospital Beds,Reuse,Electric Hospital Beds,Reuse,0.9906118512153625,https://c1.wallpaperflare.com/preview/727/227/734/hospital-bedside-beds-ceiling.jpg
Electric Lift Systems for the Disabled,Private Disposal,Electric Lift Systems for the Disabled,Private Disposal,0.8866145014762878,https://i0.hippopx.com/photos/459/721/193/stair-lift-elevator-trap-adjustment-preview.jpg
Electric Motors,Private Disposal,Electric Motors,Private Disposal,0.9998235106468201,https://upload.wikimedia.org/wikipedia/commons/3/37/Cut-away_version_of_an_electric_motor_%281%29.JPG
