,expected,output,output disposal,probability,url
Air Mattress,Regular Trash,PVC Pipes,Private Disposal,0.6721605658531189,https://upload.wikimedia.org/wikipedia/commons/0/0a/Airmattress.JPG
Ant Trap,Regular Trash,Single serve coffee discs and pods,Regular Trash,0.6760830283164978,https://upload.wikimedia.org/wikipedia/commons/f/f3/Mierenlokdoos_Ant_Bait.JPG
Artificial Plants,Regular Trash,Artificial Plants,Regular Trash,0.9309320449829102,https://upload.wikimedia.org/wikipedia/commons/c/ce/Artificial_plant.JPG
Baby Bottle Nipples,Regular Trash,Baby Bottles (glass),Recycling,0.47681450843811035,https://upload.wikimedia.org/wikipedia/commons/4/48/Baby_Bottles_%2850841205848%29.jpg
Baby Bottles (plastic),Recycling,Baby Bottles (plastic),Recycling,0.4161025285720825,https://c1.peakpx.com/wallpaper/732/31/820/children-baby-bottle-protection-wallpaper-preview.jpg
Bowl (plastic),Regular Trash,Bowl (plastic),Regular Trash,0.9353153705596924,https://upload.wikimedia.org/wikipedia/commons/6/6e/Plastic_%28LDPE%29_bowl%2C_by_GEECO%2C_Made_in_England%2C_c1950.jpg
Bread Bag Clips,Regular Trash,Chip Bags,Regular Trash,0.1401727944612503,https://upload.wikimedia.org/wikipedia/commons/a/ab/Expiration_Tag.jpg
Broom,Regular Trash,Broom,Regular Trash,0.9633023142814636,https://c1.wallpaperflare.com/preview/425/71/775/broom-sweeping-dust-cleaning.jpg
Brush,Leaf and Yard Waste,Brush,Leaf and Yard Waste,0.3146035671234131,https://media.musson.com/catalog/product/6/5/65-1085__fitchkit7-2.jpg
Bubble Wrap,Regular Trash,Bubble Wrap,Regular Trash,0.9382948279380798,https://www.stockvault.net/data/2020/07/18/277655/preview16.jpg
Cable Box,Electronics Recycling,Modem,Electronics Recycling,0.27895471453666687,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/12/Mi-Box-S-main.jpg
Calculators,Electronics Recycling,Calculators,Electronics Recycling,0.9986806511878967,https://upload.wikimedia.org/wikipedia/commons/c/cf/Casio_calculator_JS-20WK_in_201901_002.jpg
Camera Lenses,Regular Trash,Camera Lenses,Regular Trash,0.9981775283813477,https://cdn.stocksnap.io/img-thumbs/960w/camera-lens_FUL7CILDYQ.jpg
Camping Gas Cartridges,Hazardous Waste,Propane Tanks,Hazardous Waste,0.34693408012390137,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/-2019-12-13_LPG_450g_camping_gas_disposable_canister_%281%29.JPG/900px--2019-12-13_LPG_450g_camping_gas_disposable_canister_%281%29.JPG?20191213123151
Can Opener,Regular Trash,Can Opener,Regular Trash,0.9927799105644226,https://p1.pxfuel.com/preview/423/94/368/kitchen-modern-can-opener.jpg
Car Seat,Regular Trash,Car Seat,Regular Trash,0.9994552731513977,https://images.pexels.com/photos/7708639/pexels-photo-7708639.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
Cell Phone Accessories,Electronics Recycling,Cell Phone Accessories,Electronics Recycling,0.9352841973304749,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/bs117-image-kwyt6jsg.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=89bbad718989da4b855133d806071c42
Cellophane,Regular Trash,Pens,Regular Trash,0.8869963884353638,https://upload.wikimedia.org/wikipedia/commons/5/51/Cellophane.JPG
Clam Shell Plastic Containers (Clear),Recycling,Plastic Food Trays,Recycling,0.5227429270744324,https://upload.wikimedia.org/wikipedia/commons/4/45/Rectangular_plastic_food_containers.JPG
Coffee Cup Lids (plastic),Recycling,Coffee Cup Lids (plastic),Recycling,0.7618884444236755,https://p1.pxfuel.com/preview/215/434/321/coffee-lid-plastic.jpg
