,expected,output,output disposal,probability,url
Area Rug,Regular Trash,Carpet,Private Disposal,0.8022504448890686,https://p1.pxfuel.com/preview/507/166/575/rhodes-rugs-carpets-rug.jpg
Area Rug,Regular Trash,Carpet,Private Disposal,0.5685034990310669,https://c1.wallpaperflare.com/preview/299/282/407/carpets-rugs-store-floor.jpg
Area Rug,Regular Trash,Area Rug,Regular Trash,0.5190013647079468,https://c2.peakpx.com/wallpaper/600/896/908/set-carpet-persian-wallpaper-preview.jpg
Backpack,Clothing and Textiles Drop-off,Backpack,Clothing and Textiles Drop-off,0.9811804294586182,https://upload.wikimedia.org/wikipedia/commons/f/f1/Jansport_Backpack_3_2019-03-07.jpg
Backpack,Clothing and Textiles Drop-off,Backpack,Clothing and Textiles Drop-off,0.9949256181716919,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jansport_Backpack_2_2019-03-07.jpg/450px-Jansport_Backpack_2_2019-03-07.jpg?20190307083100
Backpack,Clothing and Textiles Drop-off,Backpack,Clothing and Textiles Drop-off,0.9966020584106445,https://www.publicdomainpictures.net/pictures/370000/nahled/camping-backpack.jpg
Blankets,Regular Trash,Blankets,Regular Trash,0.5591354370117188,https://p0.pxfuel.com/preview/183/416/56/blanket-scarf-cold-cloth.jpg
Blankets,Regular Trash,Blankets,Regular Trash,0.9218299984931946,https://i0.hippopx.com/photos/494/194/461/alpaca-blanket-wool-blanket-winter-preview.jpg
Blankets,Regular Trash,Pool Covers,Private Disposal,0.3834831714630127,https://live.staticflickr.com/7891/46862943601_b48a8df3be_b.jpg
Burlap Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.5630433559417725,https://www.publicdomainpictures.net/pictures/300000/nahled/burlap-sacks-of-coffee-1556212924Z9E.jpg
Burlap Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.8780755400657654,https://c1.wallpaperflare.com/preview/415/614/346/coffee-beans-sack-burlap.jpg
Burlap Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.9497684836387634,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frcoffee_coffee_bag_bags-image-kybdywh7.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=78a02b2064af9a0bc46084324181c79b
Burlap Rice Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.6845755577087402,https://cdn11.bigcommerce.com/s-xzxkjgxwy1/images/stencil/1280x1280/products/113/491/burlap-bag-640px__26685.1617302963.jpg?c=2
Burlap Rice Bags,Regular Trash,Burlap Rice Bags,Regular Trash,0.44974738359451294,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frrice_bag_china_1028635-image-kybathc9.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=4af459f36304f8c512b954f73817000e
Burlap Rice Bags,Regular Trash,Burlap Rice Bags,Regular Trash,0.7918781042098999,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/India_-_Markets_-_rice_%285208913462%29.jpg/800px-India_-_Markets_-_rice_%285208913462%29.jpg?20121231075148
Canvas Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.9214003086090088,https://p1.pxfuel.com/preview/80/796/1022/coffee-bag-brown-brasil.jpg
Carpet,Private Disposal,Area Rug,Regular Trash,0.5542889833450317,https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA4L2xyL21pYTEzNzg2OC1pbWFnZS5qcGc.jpg
Carpet,Private Disposal,Carpet,Private Disposal,0.6837888360023499,https://c0.wallpaperflare.com/preview/437/943/691/carpets-showroom-rugs-showroom-showroom-kashmir-carpets.jpg
