,expected,output,output disposal,probability,url
Artificial Christmas Tree,Regular Trash - Bulky Items,Christmas Trees,Special Instructions,0.9377633333206177,https://cdn.pixabay.com/photo/2016/01/19/17/49/christmas-tree-1149919_1280.jpg
Artificial Christmas Tree,Regular Trash - Bulky Items,Bookcase,Regular Trash - Bulky Items,0.9708451628684998,https://live.staticflickr.com/8604/15941315921_1a7ea31026_b.jpg
Armchair,Regular Trash - Bulky Items,Armchair,Regular Trash - Bulky Items,0.9908000826835632,https://upload.wikimedia.org/wikipedia/commons/b/b5/Armchair_MET_DP278962.jpg
Armchair,Regular Trash - Bulky Items,Chair,Regular Trash - Bulky Items,0.8005564212799072,https://p1.pxfuel.com/preview/22/14/355/lost-places-building-old-chair.jpg
Awning,Private Disposal,Awning,Private Disposal,0.9996911287307739,https://upload.wikimedia.org/wikipedia/commons/f/f1/Retractable_awnings.jpg
Awning,Private Disposal,Rain Gutter (metal),Private Disposal,0.44339463114738464,https://live.staticflickr.com/4124/5060169516_7583abb40c_b.jpg
Bed Frames (wooden),Regular Trash - Bulky Items,Bed Frames (wooden),Regular Trash - Bulky Items,0.8987725973129272,https://sethrolland.com/wp-content/uploads/2015/07/Morpheus-Bed.jpg
Bookcase,Regular Trash - Bulky Items,Bookcase,Regular Trash - Bulky Items,0.9311234951019287,https://media.istockphoto.com/id/628480416/photo/empty-wooden-shelf.jpg?s=612x612&w=0&k=20&c=W1Mu_AE4PPDQJbHfxa3ntkqx3JVAxbXz3VzSaWcqqI8=
Bookcase,Regular Trash - Bulky Items,Bookcase,Regular Trash - Bulky Items,0.9341381192207336,https://live.staticflickr.com/5164/5253187066_4fdede156d_b.jpg
Bush,Leaf and Yard Waste,Shrubs,Leaf and Yard Waste,0.9873402714729309,https://p1.pxfuel.com/preview/397/670/456/shorn-hedge-shorn-bush-hedge-bush.jpg
Bush,Leaf and Yard Waste,Cedar Clippings,Leaf and Yard Waste,0.5095999836921692,https://upload.wikimedia.org/wikipedia/commons/c/ce/Newlands_forest_-_Bladdernut_bush_-_diospyros_whyteana_-_CT.JPG
Canes,Regular Trash,Crutches,Regular Trash,0.6671066880226135,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Walking_Canes.JPG/800px-Walking_Canes.JPG?20150627065920
Canes,Regular Trash,Ginger,Curbside Food Waste Collection,0.24091017246246338,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Cane_%28AM_72245-3%29.jpg/1200px-Cane_%28AM_72245-3%29.jpg?20180119195043
Cedar Branches,Leaf and Yard Waste,Cedar Branches,Leaf and Yard Waste,0.8506082892417908,https://p1.pxfuel.com/preview/1006/773/127/branches-shoots-holly-young.jpg
Cedar Clippings,Leaf and Yard Waste,Cedar Branches,Leaf and Yard Waste,0.8141817450523376,https://c2.peakpx.com/wallpaper/710/150/508/twig-winter-season-macro-background-wallpaper.jpg
Chair,Regular Trash - Bulky Items,Armchair,Regular Trash - Bulky Items,0.5283589363098145,https://sethrolland.com/wp-content/uploads/2015/07/Mesa-Rocking-Chair.jpg
Chair,Regular Trash - Bulky Items,Chair,Regular Trash - Bulky Items,0.9177138805389404,https://upload.wikimedia.org/wikipedia/commons/7/70/Wooden_chairs.jpg
