,expected,output,output disposal,probability,url,img_name
Air Purifier,Regular Trash,Air Purifier,Regular Trash,0.7970647811889648,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/11/Beko-Air-Purifier-with-HEPA-Filter-and-HygieneShield-ATP6100I-1.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/air-purifier.jpg
Answering Machines,Electronics Recycling,Telephone Equipment,Electronics Recycling,0.6402447819709778,https://c.pxhere.com/photos/3f/f2/telephone_technical_support_cisco_support_technical_communication_customer_call-648632.jpg!d,/content/drive/My Drive/neurips_colab/dataset_final/electronics/answering-machines.jpg
Cables,Electronics Recycling,Cables,Electronics Recycling,0.9332296252250671,https://c.pxhere.com/photos/31/04/cables_wires_the_combination_of_connect_communication_the_flow_of_the_tip_of_the_colorful-1294681.jpg!d,/content/drive/My Drive/neurips_colab/dataset_final/electronics/cables.jpg
Cable Box,Electronics Recycling,Modem,Electronics Recycling,0.27848172187805176,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/12/Mi-Box-S-main.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/cable-box.jpg
Calculators,Electronics Recycling,Calculators,Electronics Recycling,0.9986956715583801,https://upload.wikimedia.org/wikipedia/commons/c/cf/Casio_calculator_JS-20WK_in_201901_002.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/calculators.jpg
Camcorders,Electronics Recycling,Camcorders,Electronics Recycling,0.959941565990448,https://upload.wikimedia.org/wikipedia/commons/2/2e/Sony_Handycam_DCR-VX700E_MiniDV_camcorder.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/camcorders.jpg
Camera Lenses,Regular Trash,Camera Lenses,Regular Trash,0.9928570985794067,https://images.pexels.com/photos/3679525/pexels-photo-3679525.jpeg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/camera-lenses.jpg
Cameras,Electronics Recycling,Digital Cameras,Regular Trash,0.533674955368042,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/03/Nikon-Z9-main-scaled.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/cameras.jpg
CD Player,Electronics Recycling,CD Player,Electronics Recycling,0.9423085451126099,https://upload.wikimedia.org/wikipedia/commons/9/9a/Panasonic_SL-S250C_with_Philips_LC0305_20110106.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/cd-player.jpg
Cell Phones,Electronics Recycling,Tempered Glass,Regular Trash,0.5939062833786011,https://c.pxhere.com/photos/05/d5/mobile_phone_cell_cell_phone_communication_technology_telephone_contact-438316.jpg!d,/content/drive/My Drive/neurips_colab/dataset_final/electronics/cell-phones.jpg
Chargers,Electronics Recycling,Charging Cords,Electronics Recycling,0.9506050944328308,https://img.mensxp.com/media/content/2020/Feb/How-Fast-Chargers-Work-on-Smartphones-Laptops-and-Accessories--740x500-1_5e56560ae5cbe.jpeg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/chargers.jpg
Charging Cords,Electronics Recycling,Charging Cords,Electronics Recycling,0.6472489833831787,https://upload.wikimedia.org/wikipedia/commons/c/c3/USB-C_cable_2017_A.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/charging-cords.jpg
Clocks,Regular Trash,Clocks,Regular Trash,0.9983125925064087,https://upload.wikimedia.org/wikipedia/commons/4/46/Wall_clock_in_morning_time.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/clocks.jpg
Coffee Machine,Electronics Recycling,Coffee Machine,Electronics Recycling,0.9989877343177795,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/03/Breville-Barista-Max-1.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/coffee-machine.jpg
Computer Monitors,Appointment Collection Item,Screens,Regular Trash,0.46555817127227783,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/07/Samsung-Neo-G9-01.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/computer-monitors.jpg
Computer Parts,Regular Trash,Computer Parts,Regular Trash,0.8104383945465088,https://p1.pxfuel.com/preview/299/871/687/motherboard-circuits-computer-parts-technology-circuit.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/computer-parts.jpg
Computer Tower,Regular Trash,Computer Tower,Regular Trash,0.955157995223999,https://upload.wikimedia.org/wikipedia/commons/a/a4/Falcon_Northwest_Talon.png,/content/drive/My Drive/neurips_colab/dataset_final/electronics/computer-tower.jpg
Copiers,Electronics Recycling,Photocopiers,Electronics Recycling,0.5271288752555847,https://p1.pxfuel.com/preview/460/378/395/office-equipment-supplies-paper-copier-person.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/copiers.jpg
Cords,Electronics Recycling,Charging Cords,Electronics Recycling,0.44478633999824524,https://upload.wikimedia.org/wikipedia/commons/a/ae/NEMA-1_extension_cord.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/cords.jpg
Curling Iron,Electronics Recycling,Curling Iron,Electronics Recycling,0.9669368267059326,https://upload.wikimedia.org/wikipedia/commons/a/ab/Curling_iron_CISC-W2W32_by_Create_Co.%2C_Ltd._%282015-09-20%29.JPG,/content/drive/My Drive/neurips_colab/dataset_final/electronics/curling-iron.jpg
Dehumidifier,Appointment Collection Item,Dehumidifier,Appointment Collection Item,0.6396102905273438,https://upload.wikimedia.org/wikipedia/commons/a/af/Orion_-_Humidificateur_d%27air_par_%C3%A9vaporation.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/dehumidifier.jpg
Digital Cameras,Regular Trash,Camera Lenses,Regular Trash,0.5245649218559265,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/02/panasonic-s5II-hanging-scaled.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/digital-cameras.jpg
Dishwasher,Regular Trash - Bulky Items,Dishwasher,Regular Trash - Bulky Items,0.996215283870697,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/24-inch_Built-In_Dishwasher_%28F89088VI-M-1%29.jpg/808px-24-inch_Built-In_Dishwasher_%28F89088VI-M-1%29.jpg?20210524063247,/content/drive/My Drive/neurips_colab/dataset_final/electronics/dishwasher.jpg
DVD Player,Electronics Recycling,DVD Player,Electronics Recycling,0.5356641411781311,https://upload.wikimedia.org/wikipedia/commons/6/6e/DVD_Player_Yamaha_S540.JPG,/content/drive/My Drive/neurips_colab/dataset_final/electronics/dvd-player.jpg
Electric Fan,Electronics Recycling,Electric Fan,Electronics Recycling,0.5215207934379578,https://upload.wikimedia.org/wikipedia/commons/7/7b/Small_electric_fan_in_a_square-shaped_encasing_%282017%29.jpg,/content/drive/My Drive/neurips_colab/dataset_final/electronics/electric-fan.jpg
