,expected,output,output disposal,probability,url,img_name
Baby Bottles (glass),Recycling,Baby Bottles (glass),Recycling,0.4518103003501892,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Baby_Bottles_%2850841205848%29.jpg/1597px-Baby_Bottles_%2850841205848%29.jpg?20210116181106,/content/drive/My Drive/neurips_colab/dataset_final/glass/baby-bottles- glass .jpg
Beer Bottles,Recycling,Beer Bottles,Recycling,0.9789673686027527,https://p1.pxfuel.com/preview/468/205/273/beers-bucket-cold.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/beer-bottles.jpg
Beer Bottles,Recycling,Sauces,Curbside Food Waste Collection,0.48529812693595886,https://images.pexels.com/photos/4620723/pexels-photo-4620723.jpeg,/content/drive/My Drive/neurips_colab/dataset_final/glass/beer-bottles_1.jpg
Beer Bottles,Recycling,Beer Bottles,Recycling,0.6367717981338501,https://p0.pxfuel.com/preview/444/699/810/beer-bottle-alcohol-green.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/beer-bottles_2.jpg
Broken Glass,Regular Trash,Broken Glass,Regular Trash,0.9999420642852783,https://c0.wallpaperflare.com/preview/301/259/699/dark-black-background-glass.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/broken-glass.jpg
Broken Glass,Regular Trash,Broken Glass,Regular Trash,0.9912101030349731,https://img.rawpixel.com/private/static/images/website/2022-05/px1180462-image-kwvy2bvl.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=c1c973232d611ad14f437cc75cbe0cce,/content/drive/My Drive/neurips_colab/dataset_final/glass/broken-glass_1.jpg
Broken Glass,Regular Trash,Broken Glass,Regular Trash,0.7044925093650818,https://c1.peakpx.com/wallpaper/895/324/839/glass-broken-pointed-sharp-cut-wallpaper.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/broken-glass_2.jpg
Eyeglasses,Regular Trash,Eyeglasses,Regular Trash,0.999285876750946,https://p1.pxfuel.com/preview/416/108/837/glasses-see-overview-sharpness.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/eyeglasses.jpg
Eyeglasses,Regular Trash,Eyeglasses,Regular Trash,0.9984228610992432,https://cdn.stocksnap.io/img-thumbs/960w/eyeglasses-eyewear_7UVD3CBC4W.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/eyeglasses_1.jpg
Flat Screen Monitors,Appointment Collection Item,Flat Screen Monitors,Appointment Collection Item,0.4601590931415558,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/01/LG-UltraGear-38GN950-02.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/flat-screen-monitors_1.jpg
Flat Screen Monitors,Appointment Collection Item,Flat Screen Monitors,Appointment Collection Item,0.561485230922699,https://live.staticflickr.com/153/436359444_9081af20e4_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/flat-screen-monitors_2.jpg
Flat Screen Televisions,Appointment Collection Item,Flat Screen Televisions,Appointment Collection Item,0.6111172437667847,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/07/How-to-connect-laptop-to-TV-3-scaled.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/flat-screen-televisions_1.jpg
Flat Screen Televisions,Appointment Collection Item,Flat Screen Televisions,Appointment Collection Item,0.3819250464439392,https://upload.wikimedia.org/wikipedia/commons/0/0a/Wall-mounted_36_inch_flat_panel_Panasonic_TV.JPG,/content/drive/My Drive/neurips_colab/dataset_final/glass/flat-screen-televisions_2.jpg
Flat Screen Televisions,Appointment Collection Item,Flat Screen Televisions,Appointment Collection Item,0.7584438920021057,https://upload.wikimedia.org/wikipedia/commons/0/02/Techwood_flat_screen_television_from_2010.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/flat-screen-televisions_3.jpg
Glass Bottles,Recycling,Glass Bottles,Recycling,0.8845081329345703,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Clear_empty_glass_bottle.jpg/1600px-Clear_empty_glass_bottle.jpg?20160702144650,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-bottles.jpg
Glass Bottles,Recycling,Glass Bottles,Recycling,0.7513381838798523,https://images.pexels.com/photos/7191417/pexels-photo-7191417.jpeg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-bottles_1.jpg
Glass Coffee Pots,Recycling,Glass Coffee Pots,Recycling,0.6454772353172302,https://p1.pxfuel.com/preview/971/790/468/speciality-coffee-coffee-single-origin-coffee-glass-barista-coffee-pot.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-coffee-pots.jpg
Glass Coffee Pots,Recycling,Glass Coffee Pots,Recycling,0.6577972173690796,https://p0.pxfuel.com/preview/903/283/771/black-coffee-maker-bar-restaurant.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-coffee-pots_1.jpg
Glass Drinking Glasses,Regular Trash,Glass Drinking Glasses,Regular Trash,0.8382532596588135,https://p1.pxfuel.com/preview/857/47/583/water-glass-drinking-glass-water-glasses-drinking-glasses.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-drinking-glasses.jpg
Glass Drinking Glasses,Regular Trash,Glass Drinking Glasses,Regular Trash,0.5968692302703857,https://upload.wikimedia.org/wikipedia/commons/d/d0/Drinking_glass_2368.JPG,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-drinking-glasses_1.jpg
Glass Jars (with lids),Recycling,Plastic Jars,Recycling,0.6450329422950745,https://p0.pxfuel.com/preview/557/341/121/wide-mouth-glass-jars-120-ml.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-jars- with-lids .jpg
Glass Jars (with lids),Recycling,Glass Jars (with lids),Recycling,0.7890254855155945,https://i0.hippopx.com/photos/883/481/319/stock-glass-candy-glass-glass-jar-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-jars- with-lids _1.jpg
Glass Pitchers,Regular Trash,Glass Pitchers,Regular Trash,0.9647658467292786,https://p1.pxfuel.com/preview/783/944/902/sklenene-water-glass-pitcher-morning.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-pitchers.jpg
Glass Pitchers,Regular Trash,Glass Pitchers,Regular Trash,0.9836121201515198,https://upload.wikimedia.org/wikipedia/commons/d/dc/Pitcher%2C_Saratoga_Mountain_Glass_Works%2C_c._1845-1860%2C_hand-blown_glass_with_applied_handle_-_Albany_Institute_of_History_and_Art_-_DSC08171.JPG,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-pitchers_1.jpg
Glass Pitchers,Regular Trash,Glass Pitchers,Regular Trash,0.9242111444473267,https://p1.pxfuel.com/preview/101/404/2/pitcher-water-glass.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-pitchers_2.jpg
Glass Shower Doors,Private Disposal,Glass Shower Doors,Private Disposal,0.9957528114318848,https://upload.wikimedia.org/wikipedia/commons/6/6b/Frameless_Glass_Doors.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-shower-doors.jpg
Glass Shower Doors,Private Disposal,Glass Shower Doors,Private Disposal,0.9975239634513855,https://c1.wallpaperflare.com/preview/739/317/223/shower-tile-bathroom-interior.jpg,/content/drive/My Drive/neurips_colab/dataset_final/glass/glass-shower-doors_1.jpg
