,expected,output,output disposal,probability,url,img_name
Alfalfa Sprouts,Curbside Food Waste Collection,Bean Sprouts,Curbside Food Waste Collection,0.5596048831939697,https://upload.wikimedia.org/wikipedia/commons/3/34/Sprouted_Alfalfa.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/alfalfa-sprouts.jpg
Animal Bedding,Curbside Food Waste Collection,Mulch,Private Disposal,0.6207969784736633,https://c1.wallpaperflare.com/preview/142/94/411/hay-farm-bedding-cows.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/animal-bedding.jpg
Animal Carcasses,Private Disposal,Animal Carcasses,Private Disposal,0.5824376940727234,https://i0.hippopx.com/photos/902/250/433/carcass-skeleton-animal-desert-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/animal-carcasses.jpg
Animal Feces,Regular Trash,Animal Feces,Regular Trash,0.7350436449050903,https://upload.wikimedia.org/wikipedia/commons/f/f8/Dog_feces_at_SF_Bay_Trail.JPG,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/animal-feces.jpg
Animal Waste,Regular Trash,Animal Feces,Regular Trash,0.2586304843425751,https://p1.pxfuel.com/preview/932/333/251/cow-dung-flat-bread-dung-crap.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/animal-waste.jpg
Anise,Curbside Food Waste Collection,Anise,Curbside Food Waste Collection,0.9944137334823608,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Anise_seeds.jpg/1200px-Anise_seeds.jpg?20200412213249,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/anise.jpg
Apple,Curbside Food Waste Collection,Nectarine,Regular Trash,0.8738642930984497,https://s3.amazonaws.com/assets.cce.cornell.edu/slides/93283/image/sized/apples.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/apple.jpg
Apricot,Curbside Food Waste Collection,Apricot,Curbside Food Waste Collection,0.5685144066810608,https://i0.hippopx.com/photos/370/44/954/apricot-fruit-delicious-healthy-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/apricot.jpg
Artichoke,Curbside Food Waste Collection,Artichoke,Curbside Food Waste Collection,0.9965127110481262,https://upload.wikimedia.org/wikipedia/commons/6/6d/Artichoke_J1.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/artichoke.jpg
Arugula,Curbside Food Waste Collection,Arugula,Curbside Food Waste Collection,0.8330097198486328,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/fl33763954251-public-image.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=966d6c04ba4e3974b75c68cded3b745a,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/arugula.jpg
Asparagus,Curbside Food Waste Collection,Asparagus,Curbside Food Waste Collection,0.9993317723274231,https://p1.pxfuel.com/preview/822/477/233/asparagus-green-green-asparagus-asparagus-time.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/asparagus.jpg
Avocado,Curbside Food Waste Collection,Avocado,Curbside Food Waste Collection,0.9985818862915039,https://images.pexels.com/photos/557659/pexels-photo-557659.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/avocado.jpg
Azuki Beans,Curbside Food Waste Collection,Azuki Beans,Curbside Food Waste Collection,0.9980148077011108,https://upload.wikimedia.org/wikipedia/commons/c/c1/0879Adzuki_beans_in_the_Philippines_textures_09.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/azuki-beans.jpg
Bagels,Curbside Food Waste Collection,Bagels,Curbside Food Waste Collection,0.9998328685760498,https://c.pxhere.com/photos/53/16/photo-122199.jpg!d,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/bagels.jpg
Baking Ingredients,Curbside Food Waste Collection,Baking Ingredients,Curbside Food Waste Collection,0.9701888561248779,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/1-2-3-4_Cake_ingredients.JPG/800px-1-2-3-4_Cake_ingredients.JPG?20060425114216,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/baking-ingredients.jpg
Bamboo Shoot,Curbside Food Waste Collection,Corn Cobs,Curbside Food Waste Collection,0.4329428970813751,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Bamboo_shoot-phyllostachys_parvifolia-jxc109c.jpg/337px-Bamboo_shoot-phyllostachys_parvifolia-jxc109c.jpg?20110511164756,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/bamboo-shoot.jpg
Banana,Curbside Food Waste Collection,Banana,Curbside Food Waste Collection,0.7667720913887024,https://www.publicdomainpictures.net/pictures/80000/nahled/banana-1392739039zz5.jpg,/content/drive/My Drive/neurips_colab/dataset_final/organic_matter/banana.jpg
