,expected,output,output disposal,probability,url,img_name
Acetone,Hazardous Waste,Deoderant Roll-on,Regular Trash,0.6819290518760681,https://static.openbeautyfacts.org/images/products/356/007/088/1581/front_fr.10.full.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/acetone.jpg
Air Filter,Regular Trash,Oil Filters,Hazardous Waste,0.3232588768005371,https://cdn4.explainthatstuff.com/hepafilter1.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/air-filter.jpg
Aluminium Cans,Recycling,Soft Drink Cans,Recycling,0.6151142716407776,https://p1.pxfuel.com/preview/673/363/622/aluminum-can-coca-cola.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/aluminium-cans.jpg
Ammonia Cleaners,Hazardous Waste,Household Cleaners,Hazardous Waste,0.24984779953956604,"https://m.media-amazon.com/images/S/aplus-media/vc/09507df1-5ca7-4461-8889-8cc3de1cd0c6._CR0,0,300,300_PT0_SX300__.jpg",/content/drive/My Drive/neurips_colab/dataset_final/other/ammonia-cleaners.jpg
Antifreeze,Hazardous Waste,Antifreeze,Hazardous Waste,0.9112967848777771,https://upload.wikimedia.org/wikipedia/commons/b/bd/Antifreeze.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/antifreeze.jpg
Ashes (fireplace),Regular Trash,Fireplace Ashes,Regular Trash,0.7274324297904968,https://cdn.pixabay.com/photo/2019/10/24/20/15/fireplace-4575208_1280.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/ashes- fireplace .jpg
Asphalt,Private Disposal,Asphalt,Private Disposal,0.4816262722015381,https://upload.wikimedia.org/wikipedia/commons/4/44/Asphalt_Concrete.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/asphalt.jpg
Balloons,Regular Trash,Balloons,Regular Trash,0.9997816681861877,https://myrepublica.nagariknetwork.com/uploads/media/balloons_20220605115046.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/balloons.jpg
Band Aids,Regular Trash,Band Aids,Regular Trash,0.9922113418579102,https://c1.wallpaperflare.com/preview/437/9/259/band-aids-bandages-first-aid-photo.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/band-aids.jpg
Bathtubs,Private Disposal,Bathtubs,Private Disposal,0.8960568904876709,https://upload.wikimedia.org/wikipedia/commons/9/92/Deep_bath_tub_%282940557981%29.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/bathtubs.jpg
Batteries (rechargeable),Hazardous Waste,Batteries (rechargeable),Hazardous Waste,0.4467727243900299,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/03/Energizer-Recharge-Power-Plus-AA-2000mAh-1.jpg,/content/drive/My Drive/neurips_colab/dataset_final/other/batteries- rechargeable _1.jpg
Bicycle Tires,Hazardous Waste,Bicycle Tires,Hazardous Waste,0.9522984027862549,https://upload.wikimedia.org/wikipedia/commons/c/c5/Mountain_bike_tires.JPG,/content/drive/My Drive/neurips_colab/dataset_final/other/bicycle-tires.jpg
