,expected,output,output disposal,probability,url,img_name
Air Mattress,Regular Trash,PVC Pipes,Private Disposal,0.6752498149871826,https://upload.wikimedia.org/wikipedia/commons/0/0a/Airmattress.JPG,/content/drive/My Drive/neurips_colab/dataset_final/plastic/air-mattress.jpg
Ant Trap,Regular Trash,Single serve coffee discs and pods,Regular Trash,0.6749744415283203,https://upload.wikimedia.org/wikipedia/commons/f/f3/Mierenlokdoos_Ant_Bait.JPG,/content/drive/My Drive/neurips_colab/dataset_final/plastic/ant-trap.jpg
Artificial Plants,Regular Trash,Artificial Plants,Regular Trash,0.931830883026123,https://upload.wikimedia.org/wikipedia/commons/c/ce/Artificial_plant.JPG,/content/drive/My Drive/neurips_colab/dataset_final/plastic/artificial-plants.jpg
Baby Bottle Nipples,Regular Trash,Baby Bottles (glass),Recycling,0.479077011346817,https://upload.wikimedia.org/wikipedia/commons/4/48/Baby_Bottles_%2850841205848%29.jpg,/content/drive/My Drive/neurips_colab/dataset_final/plastic/baby-bottle-nipples.jpg
Baby Bottles (plastic),Recycling,Baby Bottles (plastic),Recycling,0.41652148962020874,https://c1.peakpx.com/wallpaper/732/31/820/children-baby-bottle-protection-wallpaper-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/plastic/baby-bottles- plastic .jpg
Bowl (plastic),Regular Trash,Bowl (plastic),Regular Trash,0.935151994228363,https://upload.wikimedia.org/wikipedia/commons/6/6e/Plastic_%28LDPE%29_bowl%2C_by_GEECO%2C_Made_in_England%2C_c1950.jpg,/content/drive/My Drive/neurips_colab/dataset_final/plastic/bowl- plastic .jpg
Bread Bag Clips,Regular Trash,Chip Bags,Regular Trash,0.1401769518852234,https://upload.wikimedia.org/wikipedia/commons/a/ab/Expiration_Tag.jpg,/content/drive/My Drive/neurips_colab/dataset_final/plastic/bread-bag-clips.jpg
Broom,Regular Trash,Broom,Regular Trash,0.9624580144882202,https://c1.wallpaperflare.com/preview/425/71/775/broom-sweeping-dust-cleaning.jpg,/content/drive/My Drive/neurips_colab/dataset_final/plastic/broom.jpg
Brush,Leaf and Yard Waste,Brush,Leaf and Yard Waste,0.31597277522087097,https://media.musson.com/catalog/product/6/5/65-1085__fitchkit7-2.jpg,/content/drive/My Drive/neurips_colab/dataset_final/plastic/brush.jpg
Bubble Wrap,Regular Trash,Bubble Wrap,Regular Trash,0.9400344491004944,https://www.stockvault.net/data/2020/07/18/277655/preview16.jpg,/content/drive/My Drive/neurips_colab/dataset_final/plastic/bubble-wrap.jpg
