,expected,output,output disposal,probability,url,img_name
Area Rug,Regular Trash,Carpet,Private Disposal,0.8005748987197876,https://p1.pxfuel.com/preview/507/166/575/rhodes-rugs-carpets-rug.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/area-rug.jpg
Area Rug,Regular Trash,Carpet,Private Disposal,0.5710069537162781,https://c1.wallpaperflare.com/preview/299/282/407/carpets-rugs-store-floor.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/area-rug_1.jpg
Area Rug,Regular Trash,Area Rug,Regular Trash,0.5196530222892761,https://c2.peakpx.com/wallpaper/600/896/908/set-carpet-persian-wallpaper-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/area-rug_2.jpg
Backpack,Clothing and Textiles Drop-off,Backpack,Clothing and Textiles Drop-off,0.9812638759613037,https://upload.wikimedia.org/wikipedia/commons/f/f1/Jansport_Backpack_3_2019-03-07.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/backpack.jpg
Backpack,Clothing and Textiles Drop-off,Backpack,Clothing and Textiles Drop-off,0.994907557964325,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jansport_Backpack_2_2019-03-07.jpg/450px-Jansport_Backpack_2_2019-03-07.jpg?20190307083100,/content/drive/My Drive/neurips_colab/dataset_final/textiles/backpack_1.jpg
Backpack,Clothing and Textiles Drop-off,Backpack,Clothing and Textiles Drop-off,0.9966148734092712,https://www.publicdomainpictures.net/pictures/370000/nahled/camping-backpack.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/backpack_2.jpg
Blankets,Regular Trash,Blankets,Regular Trash,0.5605955123901367,https://p0.pxfuel.com/preview/183/416/56/blanket-scarf-cold-cloth.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/blankets.jpg
Blankets,Regular Trash,Blankets,Regular Trash,0.9214155673980713,https://i0.hippopx.com/photos/494/194/461/alpaca-blanket-wool-blanket-winter-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/blankets_1.jpg
Blankets,Regular Trash,Pool Covers,Private Disposal,0.38381582498550415,https://live.staticflickr.com/7891/46862943601_b48a8df3be_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/blankets_2.jpg
Burlap Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.563621461391449,https://www.publicdomainpictures.net/pictures/300000/nahled/burlap-sacks-of-coffee-1556212924Z9E.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/burlap-coffee-bags.jpg
Burlap Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.8790044784545898,https://c1.wallpaperflare.com/preview/415/614/346/coffee-beans-sack-burlap.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/burlap-coffee-bags_1.jpg
Burlap Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.9488994479179382,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frcoffee_coffee_bag_bags-image-kybdywh7.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=78a02b2064af9a0bc46084324181c79b,/content/drive/My Drive/neurips_colab/dataset_final/textiles/burlap-coffee-bags_2.jpg
Burlap Rice Bags,Regular Trash,Burlap Rice Bags,Regular Trash,0.4495479166507721,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frrice_bag_china_1028635-image-kybathc9.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=4af459f36304f8c512b954f73817000e,/content/drive/My Drive/neurips_colab/dataset_final/textiles/burlap-rice-bags_1.jpg
Burlap Rice Bags,Regular Trash,Burlap Rice Bags,Regular Trash,0.7924414277076721,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/India_-_Markets_-_rice_%285208913462%29.jpg/800px-India_-_Markets_-_rice_%285208913462%29.jpg?20121231075148,/content/drive/My Drive/neurips_colab/dataset_final/textiles/burlap-rice-bags_2.jpg
Canvas Coffee Bags,Regular Trash,Burlap Coffee Bags,Regular Trash,0.922350287437439,https://p1.pxfuel.com/preview/80/796/1022/coffee-bag-brown-brasil.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/canvas-coffee-bags.jpg
Carpet,Private Disposal,Area Rug,Regular Trash,0.5551933646202087,https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA4L2xyL21pYTEzNzg2OC1pbWFnZS5qcGc.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/carpet.jpg
Carpet,Private Disposal,Carpet,Private Disposal,0.683528482913971,https://c0.wallpaperflare.com/preview/437/943/691/carpets-showroom-rugs-showroom-showroom-kashmir-carpets.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/carpet_1.jpg
Carpet,Private Disposal,Area Rug,Regular Trash,0.965095043182373,"https://static.wixstatic.com/media/b8e6f9_18a9c84ee5954d2eb87cdd88fb9ba256~mv2_d_2000_2000_s_2.jpg/v1/fill/w_640,h_724,al_b,q_85,usm_0.66_1.00_0.01,enc_auto/b8e6f9_18a9c84ee5954d2eb87cdd88fb9ba256~mv2_d_2000_2000_s_2.jpg",/content/drive/My Drive/neurips_colab/dataset_final/textiles/carpet_2.jpg
Carpeting,Private Disposal,Carpeting,Private Disposal,0.6590991616249084,https://s3-media0.fl.yelpcdn.com/bphoto/EV9JMV6ocbiBXSffkd-c9w/348s.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/carpeting.jpg
Carpeting,Private Disposal,Carpeting,Private Disposal,0.8969481587409973,https://upload.wikimedia.org/wikipedia/commons/a/a5/Swatches_of_carpet_1.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/carpeting_1.jpg
Clothing,Clothing and Textiles Drop-off,Light Fixtures,Regular Trash,0.4683052599430084,https://img.rawpixel.com/private/static/images/website/2022-05/upwk61843344-wikimedia-image-kowcf887.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=8a1c8e867d58e81edb29de5b0b4c037c,/content/drive/My Drive/neurips_colab/dataset_final/textiles/clothing.jpg
Clothing,Clothing and Textiles Drop-off,Clothing,Clothing and Textiles Drop-off,0.8960533738136292,https://c1.wallpaperflare.com/preview/191/476/40/fashion-clothing-shop-clothes.jpg,/content/drive/My Drive/neurips_colab/dataset_final/textiles/clothing_1.jpg
