,expected,output,output disposal,probability,url,img_name
Artificial Christmas Tree,Regular Trash - Bulky Items,Christmas Trees,Special Instructions,0.938254714012146,https://cdn.pixabay.com/photo/2016/01/19/17/49/christmas-tree-1149919_1280.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/artificial-christmas-tree.jpg
Artificial Christmas Tree,Regular Trash - Bulky Items,Bookcase,Regular Trash - Bulky Items,0.9710627198219299,https://live.staticflickr.com/8604/15941315921_1a7ea31026_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/artificial-christmas-tree_1.jpg
Armchair,Regular Trash - Bulky Items,Armchair,Regular Trash - Bulky Items,0.9907743334770203,https://upload.wikimedia.org/wikipedia/commons/b/b5/Armchair_MET_DP278962.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/armchair.jpg
Armchair,Regular Trash - Bulky Items,Chair,Regular Trash - Bulky Items,0.7965784668922424,https://p1.pxfuel.com/preview/22/14/355/lost-places-building-old-chair.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/armchair_1.jpg
Awning,Private Disposal,Awning,Private Disposal,0.9996895790100098,https://upload.wikimedia.org/wikipedia/commons/f/f1/Retractable_awnings.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/awning.jpg
Awning,Private Disposal,Rain Gutter (metal),Private Disposal,0.4454672932624817,https://live.staticflickr.com/4124/5060169516_7583abb40c_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/awning_1.jpg
Bed Frames (wooden),Regular Trash - Bulky Items,Bed Frames (wooden),Regular Trash - Bulky Items,0.899730920791626,https://sethrolland.com/wp-content/uploads/2015/07/Morpheus-Bed.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/bed-frames- wooden .jpg
Bookcase,Regular Trash - Bulky Items,Bookcase,Regular Trash - Bulky Items,0.9320278167724609,https://media.istockphoto.com/id/628480416/photo/empty-wooden-shelf.jpg?s=612x612&w=0&k=20&c=W1Mu_AE4PPDQJbHfxa3ntkqx3JVAxbXz3VzSaWcqqI8=,/content/drive/My Drive/neurips_colab/dataset_final/wood/bookcase.jpg
Bookcase,Regular Trash - Bulky Items,Bookcase,Regular Trash - Bulky Items,0.93491530418396,https://live.staticflickr.com/5164/5253187066_4fdede156d_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/bookcase_1.jpg
Bush,Leaf and Yard Waste,Shrubs,Leaf and Yard Waste,0.9869669079780579,https://p1.pxfuel.com/preview/397/670/456/shorn-hedge-shorn-bush-hedge-bush.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/bush.jpg
Bush,Leaf and Yard Waste,Cedar Clippings,Leaf and Yard Waste,0.507770299911499,https://upload.wikimedia.org/wikipedia/commons/c/ce/Newlands_forest_-_Bladdernut_bush_-_diospyros_whyteana_-_CT.JPG,/content/drive/My Drive/neurips_colab/dataset_final/wood/bush_1.jpg
Canes,Regular Trash,Crutches,Regular Trash,0.7672044634819031,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Walking_Canes.JPG/800px-Walking_Canes.JPG?20150627065920,/content/drive/My Drive/neurips_colab/dataset_final/wood/canes.jpg
Canes,Regular Trash,Ginger,Curbside Food Waste Collection,0.24487930536270142,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Cane_%28AM_72245-3%29.jpg/1200px-Cane_%28AM_72245-3%29.jpg?20180119195043,/content/drive/My Drive/neurips_colab/dataset_final/wood/canes_1.jpg
Cedar Branches,Leaf and Yard Waste,Cedar Branches,Leaf and Yard Waste,0.8511596918106079,https://p1.pxfuel.com/preview/1006/773/127/branches-shoots-holly-young.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/cedar-branches.jpg
Cedar Clippings,Leaf and Yard Waste,Cedar Branches,Leaf and Yard Waste,0.8118691444396973,https://c2.peakpx.com/wallpaper/710/150/508/twig-winter-season-macro-background-wallpaper.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/cedar-clippings.jpg
Chair,Regular Trash - Bulky Items,Armchair,Regular Trash - Bulky Items,0.5254026055335999,https://sethrolland.com/wp-content/uploads/2015/07/Mesa-Rocking-Chair.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/chair.jpg
Chair,Regular Trash - Bulky Items,Chair,Regular Trash - Bulky Items,0.9170665144920349,https://upload.wikimedia.org/wikipedia/commons/7/70/Wooden_chairs.jpg,/content/drive/My Drive/neurips_colab/dataset_final/wood/chair_1.jpg
"Crates (wooden, plastic)",Private Disposal,"Crates (wooden, plastic)",Private Disposal,0.5764679312705994,https://www.publicdomainpictures.net/pictures/290000/nahled/wooden-crates-1551165078iXs.jpg,"/content/drive/My Drive/neurips_colab/dataset_final/wood/crates- wooden,-plastic _1.jpg"
"Crates (wooden, plastic)",Private Disposal,"Crates (wooden, plastic)",Private Disposal,0.658836305141449,https://www.publicdomainpictures.net/pictures/300000/nahled/old-wooden-crate.jpg,"/content/drive/My Drive/neurips_colab/dataset_final/wood/crates- wooden,-plastic _2.jpg"
